transaction_id,date,product_name,category,quantity,unit_price,payment_type
TXN11074,01-Feb-2025,atorvastatin 20mg,Cardiovascular,1,2.67,NHS Prescription
TXN10740,23-Jun-2025,Paracetamol 500mg,Pain Relief,1,£1.17,PRIVATE PRESCRIPTION
TXN10165,2025-07-19,AMOXICILLIN 250MG,Antibiotics,1,3.49,NHS PRESCRIPTION
TXN10051,30-May-2025,atorvastatin 20mg,Cardiovascular,1,2.96,NHS Prescription
TXN10071,05-Mar-2025,Metformin 500mg,diabetes,1,£1.88,OTC Sale
TXN10691,24/03/2025,ATORVASTATIN 20MG,Cardiovascular,1,2.94,nhs prescription
TXN10359,2025-08-31,Atorvastatin 20mg,Cardiovascular,1,2.83,NHS Prescription
TXN10806,06/07/2025,VITAMIN D 1000IU,Supplements,2,3.76,OTC Sale
TXN10058,2025-11-28,Ibuprofen 200mg,Pain Relief,1,£1.49,OTC Sale
TXN11011,2025-02-10,Cetirizine 10mg,Allergy,3,1.24,NHS Prescription
TXN10893,2025-07-15,Amoxicillin 250mg,Antibiotics,1,3.21,OTC Sale
TXN11176,25/05/2025,Amoxicillin 250mg,Antibiotics,2,£3.2,PRIVATE PRESCRIPTION
TXN10510,13/10/2025,Paracetamol 500mg,Pain Relief,3,1.19,NHS Prescription
TXN10065,12/09/2025,Omeprazole 20mg,  Gastro ,1,£2.08,Private Prescription
TXN10473,10-Jun-2025,Ibuprofen 200mg,Pain Relief,1,1.59,NHS Prescription
TXN10647,17/11/2025,Cetirizine 10mg,Allergy,2,£1.27,OTC Sale
TXN11022,17-Oct-2025,Metformin 500mg,Diabetes,1,£2.07,NHS PRESCRIPTION
TXN10943,15-Aug-2025,Paracetamol 500mg,PAIN RELIEF,1,£1.21,Private Prescription
TXN10387,2025-10-06,LORATADINE 10MG,Allergy,1,1.38,Private Prescription
TXN10060,2025-10-03,Atorvastatin 20mg,cardiovascular,1,2.89,PRIVATE PRESCRIPTION
TXN10227,23/07/2025,Cetirizine 10mg,allergy,1,1.2,private prescription
TXN10954,10/01/2025,Atorvastatin 20mg,Cardiovascular,1,2.98,NHS Prescription
TXN11104,2025-02-21,Omeprazole 20mg,Gastro,2,£2.1,Private Prescription
TXN10145,11-Jul-2025,Salbutamol Inhaler,Respiratory,1,£6.54,Private Prescription
TXN10929,22/04/2025,Omeprazole 20mg,,1,2.12,  NHS Prescription 
TXN10986,31/05/2025,atorvastatin 20mg,CARDIOVASCULAR,1,2.84,NHS Prescription
TXN11179,04/03/2025,METFORMIN 500MG,Diabetes,1,2.01,OTC SALE
TXN10837,13-Jan-2025,Metformin 500mg,Diabetes,1,£1.89,Private Prescription
TXN11174,18/07/2025,Loratadine 10mg,ALLERGY,2,£1.4,PRIVATE PRESCRIPTION
TXN10188,23/08/2025,Ibuprofen 200mg,Pain Relief,2,1.39,OTC Sale
TXN10959,2025-09-02,Metformin 500mg,Diabetes,1,£1.91,Private Prescription
TXN10648,03-Sep-2025,Amoxicillin 250mg,Antibiotics,1,£3.43,NHS Prescription
TXN10104,04/06/2025,Omeprazole 20mg,Gastro,1,2.25,OTC SALE
TXN11084,2025-02-09,Metformin 500mg,,1,,OTC SALE
TXN10039,20-Mar-2025,  Vitamin D 1000IU ,Supplements,1,£3.62,NHS Prescription
TXN10910,07-Apr-2025,Atorvastatin 20mg,CARDIOVASCULAR,1,3.07,Private Prescription
TXN10256,04/08/2025,ATORVASTATIN 20MG,Cardiovascular,3,2.72,OTC Sale
TXN10886,2025-12-07,Omeprazole 20mg,Gastro,2,2.13,OTC Sale
TXN11129,06/07/2025,Paracetamol 500mg,pain relief,1,£1.15,OTC Sale
TXN11100,30/05/2025,Metformin 500mg,diabetes,1,£1.9,OTC Sale
TXN10205,19-Mar-2025,Omeprazole 20mg,GASTRO,3,2.17,  OTC Sale 
TXN10589,22/11/2025,Atorvastatin 20mg,Cardiovascular,2,,OTC Sale
TXN10245,31-Jul-2025,Cetirizine 10mg,ALLERGY,3,£1.37,NHS Prescription
TXN10146,2025-01-02,Omeprazole 20mg,Gastro,4,2.22,OTC Sale
TXN10122,15/10/2025,METFORMIN 500MG,Diabetes,1,£1.88,NHS Prescription
TXN10601,2025-03-29,Omeprazole 20mg,gastro,2,£2.31,OTC SALE
TXN10014,02/10/2025,Omeprazole 20mg,Gastro,1,2.14,NHS Prescription
TXN10298,2025-07-09,Salbutamol Inhaler,Respiratory,2,7.09,PRIVATE PRESCRIPTION
TXN11143,27/12/2025,Metformin 500mg,  Diabetes ,1,1.82,NHS PRESCRIPTION
TXN10537,12/10/2025,Salbutamol Inhaler,Respiratory,2,6.94,Private Prescription
TXN10705,28-Aug-2025,Omeprazole 20mg,Gastro,1,2.06,OTC SALE
TXN10000,13-Jan-2025,IBUPROFEN 200MG,PAIN RELIEF,1,1.4,NHS Prescription
TXN10583,07-Dec-2025,Paracetamol 500mg,PAIN RELIEF,2,1.08,NHS PRESCRIPTION
TXN10351,26-Oct-2025,Salbutamol Inhaler,Respiratory,,£6.23,Private Prescription
TXN10911,22/10/2025,Vitamin D 1000IU,Supplements,1,£3.66,NHS Prescription
TXN10194,16/07/2025,vitamin d 1000iu,Supplements,4,£3.4,NHS Prescription
TXN10569,06-Nov-2025,SALBUTAMOL INHALER,Respiratory,1,7.03,OTC Sale
TXN10416,12/07/2025,Vitamin D 1000IU,  Supplements ,1,£3.33,Private Prescription
TXN10147,05/12/2025,PARACETAMOL 500MG,,2,£1.19,nhs prescription
TXN10228,16-Oct-2025,Cetirizine 10mg,allergy,1,1.21,OTC Sale
TXN11038,17/03/2025,Loratadine 10mg,Allergy,3,1.35,OTC Sale
TXN10449,26/12/2025,Metformin 500mg,Diabetes,1,£1.84,OTC Sale
TXN10738,02/06/2025,Metformin 500mg,Diabetes,1,£1.98,NHS Prescription
TXN11089,07/04/2025,Salbutamol Inhaler,  Respiratory ,2,6.41,OTC Sale
TXN10809,06-Apr-2025,Ibuprofen 200mg,Pain Relief,1,£1.42,Private Prescription
TXN10404,01/11/2025,PARACETAMOL 500MG,Pain Relief,3,£1.14,NHS Prescription
TXN10992,06-Dec-2025,Omeprazole 20mg,GASTRO,1,2.05,NHS Prescription
TXN10056,2025-09-21,Salbutamol Inhaler,Respiratory,2,£6.58,NHS Prescription
TXN10976,20/06/2025,Amoxicillin 250mg,Antibiotics,2,3.3,OTC Sale
TXN10518,2025-01-12,Amoxicillin 250mg,ANTIBIOTICS,3,3.16,OTC Sale
TXN10281,15-Jul-2025,Atorvastatin 20mg,Cardiovascular,2,£2.73,OTC Sale
TXN11120,17/02/2025,Metformin 500mg,DIABETES,2,,OTC Sale
TXN10690,09/02/2025,Ibuprofen 200mg,Pain Relief,2,£1.42,Private Prescription
TXN10715,2025-11-24,Metformin 500mg,Diabetes,1,1.87,OTC SALE
TXN10677,25-Jun-2025,Salbutamol Inhaler,Respiratory,1,6.58,NHS Prescription
TXN11172,2025-03-07,Salbutamol Inhaler,RESPIRATORY,2,£6.86,NHS Prescription
TXN10442,17-Apr-2025,Amoxicillin 250mg,Antibiotics,1,£3.51,OTC Sale
TXN10819,2025-07-16,metformin 500mg,Diabetes,-1,2.08,PRIVATE PRESCRIPTION
TXN10111,11-Nov-2025,Loratadine 10mg,Allergy,1,£1.42,OTC Sale
TXN10980,04/05/2025,CETIRIZINE 10MG,,1,1.31,OTC SALE
TXN10127,13-Jun-2025,Vitamin D 1000IU,Supplements,1,3.77,Private Prescription
TXN11020,04/02/2025,ATORVASTATIN 20MG,  Cardiovascular ,1,£2.87,OTC Sale
TXN10315,31-Aug-2025,Amoxicillin 250mg,Antibiotics,1,3.52,NHS Prescription
TXN10720,2025-04-11,amoxicillin 250mg,Antibiotics,1,3.15,Private Prescription
TXN10497,26-Aug-2025,Loratadine 10mg,Allergy,1,1.27,PRIVATE PRESCRIPTION
TXN10875,17/07/2025,Paracetamol 500mg,Pain Relief,,£1.08,private prescription
TXN10125,19-Oct-2025,  Paracetamol 500mg ,Pain Relief,1,1.06,Private Prescription
TXN11153,28-May-2025,Loratadine 10mg,Allergy,3,1.28,NHS Prescription
TXN10741,09/11/2025,Vitamin D 1000IU,SUPPLEMENTS,1,3.54,Private Prescription
TXN10672,17-Sep-2025,SALBUTAMOL INHALER,Respiratory,1,6.84,  NHS Prescription 
TXN10417,15-Mar-2025,OMEPRAZOLE 20MG,Gastro,1,£2.07,Private Prescription
TXN10488,2025-12-30,Loratadine 10mg,Allergy,1,1.3,Private Prescription
TXN10923,2025-07-29,IBUPROFEN 200MG,Pain Relief,,,NHS Prescription
TXN10744,02-May-2025,Paracetamol 500mg,PAIN RELIEF,1,1.11,NHS PRESCRIPTION
TXN10455,11/09/2025,Amoxicillin 250mg,Antibiotics,2,£3.06,NHS Prescription
TXN10164,09-Sep-2025,Atorvastatin 20mg,  Cardiovascular ,1,2.84,private prescription
TXN10933,13-Nov-2025,Metformin 500mg,DIABETES,1,1.94,NHS Prescription
TXN10098,17-Sep-2025,IBUPROFEN 200MG,pain relief,2,£1.39,NHS Prescription
TXN10423,23/04/2025,Loratadine 10mg,allergy,2,1.36,NHS Prescription
TXN10935,13/02/2025,LORATADINE 10MG,Allergy,1,£1.29,Private Prescription
TXN10355,17-Nov-2025,Vitamin D 1000IU,supplements,1,3.41,NHS Prescription
TXN10495,2025-07-18,Amoxicillin 250mg,Antibiotics,1,£3.35,Private Prescription
TXN11057,15/10/2025,Vitamin D 1000IU,,1,3.67,NHS Prescription
TXN10849,15/09/2025,  Metformin 500mg ,Diabetes,2,£2.02,Private Prescription
TXN11025,12-Nov-2025,Loratadine 10mg,Allergy,3,1.29,OTC Sale
TXN10513,17-May-2025,Ibuprofen 200mg,Pain Relief,2,£1.51,Private Prescription
TXN10394,2025-05-18,Metformin 500mg,Diabetes,3,£1.81,OTC Sale
TXN10430,2025-06-14,Omeprazole 20mg,Gastro,3,£2.13,OTC Sale
TXN10289,17-Dec-2025,Vitamin D 1000IU,Supplements,2,3.41,NHS Prescription
TXN10881,2025-08-04,Metformin 500mg,diabetes,1,£2.07,NHS PRESCRIPTION
TXN10097,17/02/2025,Metformin 500mg,diabetes,2,£1.81,Private Prescription
TXN10682,04/12/2025,Cetirizine 10mg,ALLERGY,1,1.3,PRIVATE PRESCRIPTION
TXN11159,09/10/2025,Metformin 500mg,Diabetes,1,1.99,Private Prescription
TXN10438,15-Aug-2025,VITAMIN D 1000IU,,2,£3.8,PRIVATE PRESCRIPTION
TXN10869,22-Dec-2025,  Amoxicillin 250mg ,Antibiotics,2,3.43,OTC Sale
TXN11103,2025-01-22,Paracetamol 500mg,Pain Relief,3,£1.19,PRIVATE PRESCRIPTION
TXN10409,2025-07-16,Paracetamol 500mg,Pain Relief,1,£1.21,PRIVATE PRESCRIPTION
TXN10265,11/10/2025,Paracetamol 500mg,Pain Relief,2,1.13,OTC Sale
TXN10202,06-Jul-2025,Atorvastatin 20mg,Cardiovascular,3,£3.06,Private Prescription
TXN11157,2025-08-14,Amoxicillin 250mg,Antibiotics,2,£3.26,NHS Prescription
TXN10803,2025-06-29,METFORMIN 500MG,diabetes,1,2.0,OTC Sale
TXN10868,30-Nov-2025,Ibuprofen 200mg,PAIN RELIEF,2,1.38,NHS Prescription
TXN10319,16/08/2025,CETIRIZINE 10MG,  Allergy ,2,£1.27,nhs prescription
TXN10398,24-May-2025,Vitamin D 1000IU,Supplements,3,£3.38,NHS Prescription
TXN10761,2025-10-14,loratadine 10mg,Allergy,1,£1.33,Private Prescription
TXN10475,2025-08-05,Omeprazole 20mg,Gastro,1,2.3,OTC Sale
TXN10156,24/08/2025,Atorvastatin 20mg,Cardiovascular,2,2.72,NHS Prescription
TXN10967,26/08/2025,Loratadine 10mg,allergy,2,1.41,Private Prescription
TXN10999,2025-04-08,Cetirizine 10mg,Allergy,2,£1.29,NHS Prescription
TXN10281,15-Jul-2025,Atorvastatin 20mg,Cardiovascular,2,£2.73,OTC Sale
TXN10365,10-Nov-2025,Metformin 500mg,diabetes,1,2.02,NHS Prescription
TXN10073,2025-03-11,Metformin 500mg,Diabetes,1,2.02,OTC Sale
TXN10641,14/10/2025,Cetirizine 10mg,Allergy,3,1.32,Private Prescription
TXN10717,22/05/2025,Salbutamol Inhaler,Respiratory,1,6.86,NHS Prescription
TXN10814,2025-07-24,Amoxicillin 250mg,Antibiotics,3,,otc sale
TXN10349,23/01/2025,Atorvastatin 20mg,Cardiovascular,1,2.98,PRIVATE PRESCRIPTION
TXN11004,10/10/2025,cetirizine 10mg,Allergy,2,,NHS PRESCRIPTION
TXN10674,10/08/2025,Salbutamol Inhaler,  Respiratory ,1,6.51,PRIVATE PRESCRIPTION
TXN10818,06-Aug-2025,Cetirizine 10mg,Allergy,2,1.34,NHS Prescription
TXN10314,25-Dec-2025,Salbutamol Inhaler,Respiratory,1,6.61,private prescription
TXN10447,2025-11-03,  Ibuprofen 200mg ,Pain Relief,1,1.56,NHS PRESCRIPTION
TXN10420,01-Apr-2025,Metformin 500mg,Diabetes,2,1.84,NHS Prescription
TXN10693,2025-05-18,Amoxicillin 250mg,Antibiotics,1,3.21,private prescription
TXN10380,23-Oct-2025,  Paracetamol 500mg ,PAIN RELIEF,2,£1.08,NHS Prescription
TXN10628,29/03/2025,  Salbutamol Inhaler ,  Respiratory ,,6.84,private prescription
TXN10502,04/06/2025,Salbutamol Inhaler,Respiratory,1,£6.28,OTC Sale
TXN10210,2025-07-22,Loratadine 10mg,Allergy,1,£1.39,NHS PRESCRIPTION
TXN10305,02-Dec-2025,Omeprazole 20mg,Gastro,4,£2.08,NHS Prescription
TXN10652,06/10/2025,IBUPROFEN 200MG,PAIN RELIEF,1,£1.47,OTC Sale
TXN11067,04-Apr-2025,Metformin 500mg,Diabetes,1,£1.85,  OTC Sale 
TXN10434,2025-08-16,metformin 500mg,  Diabetes ,1,£2.03,Private Prescription
TXN10272,07-Oct-2025,VITAMIN D 1000IU,Supplements,1,3.43,Private Prescription
TXN10587,07/11/2025,METFORMIN 500MG,Diabetes,1,£1.94,Private Prescription
TXN11187,07-Nov-2025,Salbutamol Inhaler,Respiratory,4,£6.81,NHS Prescription
TXN10066,2025-11-24,CETIRIZINE 10MG,Allergy,2,1.24,NHS Prescription
TXN10813,26-Jun-2025,Amoxicillin 250mg,antibiotics,1,3.38,Private Prescription
TXN10586,2025-03-21,Salbutamol Inhaler,Respiratory,1,7.01,  Private Prescription 
TXN10491,2025-06-28,Ibuprofen 200mg,pain relief,1,,otc sale
TXN10773,2025-05-06,paracetamol 500mg,Pain Relief,1,£1.08,NHS Prescription
TXN10860,17/10/2025,Ibuprofen 200mg,Pain Relief,4,1.49,OTC Sale
TXN11190,28/08/2025,Omeprazole 20mg,Gastro,1,£2.17,OTC Sale
TXN10974,29-Apr-2025,atorvastatin 20mg,Cardiovascular,1,2.81,OTC Sale
TXN10749,2025-07-14,Omeprazole 20mg,Gastro,2,£2.2,Private Prescription
TXN10341,2025-10-16,Omeprazole 20mg,Gastro,1,£2.29,OTC SALE
TXN10795,2025-08-06,Atorvastatin 20mg,Cardiovascular,1,£2.98,OTC SALE
TXN10250,12-Jul-2025,PARACETAMOL 500MG,PAIN RELIEF,1,1.05,NHS Prescription
TXN10391,2025-01-16,Cetirizine 10mg,Allergy,1,1.3,Private Prescription
TXN10525,2025-06-28,Metformin 500mg,Diabetes,3,1.97,OTC Sale
TXN10640,27-Dec-2025,Omeprazole 20mg,Gastro,3,£2.17,Private Prescription
TXN10619,21-Nov-2025,cetirizine 10mg,  Allergy ,1,1.31,otc sale
TXN10129,29-Mar-2025,atorvastatin 20mg,Cardiovascular,2,£3.01,private prescription
TXN10270,22-Feb-2025,Atorvastatin 20mg,Cardiovascular,3,3.02,NHS Prescription
TXN10965,2025-07-18,Metformin 500mg,Diabetes,2,£1.88,OTC Sale
TXN10034,2025-05-01,Cetirizine 10mg,ALLERGY,1,£1.2,PRIVATE PRESCRIPTION
TXN10216,29/01/2025,metformin 500mg,Diabetes,1,1.92,NHS Prescription
TXN10192,2025-02-06,ATORVASTATIN 20MG,Cardiovascular,1,£2.7,NHS PRESCRIPTION
TXN10406,2025-07-15,PARACETAMOL 500MG,pain relief,1,£1.2,NHS PRESCRIPTION
TXN10383,12-Apr-2025,LORATADINE 10MG,Allergy,2,1.41,OTC Sale
TXN11127,2025-10-04,Omeprazole 20mg,Gastro,3,2.05,Private Prescription
TXN11116,2025-01-16,Paracetamol 500mg,Pain Relief,1,1.05,Private Prescription
TXN10178,06-Apr-2025,Metformin 500mg,Diabetes,1,1.88,Private Prescription
TXN10785,16/10/2025,Atorvastatin 20mg,Cardiovascular,2,3.0,Private Prescription
TXN10523,02/03/2025,Metformin 500mg,DIABETES,1,1.85,NHS PRESCRIPTION
TXN10213,2025-05-24,Cetirizine 10mg,Allergy,3,£1.3,private prescription
TXN10500,10/12/2025,atorvastatin 20mg,Cardiovascular,2,3.07,Private Prescription
TXN10848,2025-08-22,Vitamin D 1000IU,Supplements,1,3.47,NHS Prescription
TXN10183,05-Oct-2025,Loratadine 10mg,  Allergy ,2,1.28,Private Prescription
TXN10307,01-Mar-2025,Loratadine 10mg,Allergy,4,1.39,Private Prescription
TXN11173,02/11/2025,vitamin d 1000iu,SUPPLEMENTS,1,£3.59,OTC Sale
TXN10310,13/09/2025,Omeprazole 20mg,Gastro,1,£2.08,OTC Sale
TXN10043,23/05/2025,Ibuprofen 200mg,Pain Relief,1,£1.51,Private Prescription
TXN10487,10-May-2025,PARACETAMOL 500MG,pain relief,2,£1.11,PRIVATE PRESCRIPTION
TXN10884,2025-08-30,vitamin d 1000iu,Supplements,2,3.39,NHS Prescription
TXN10729,20/07/2025,  Cetirizine 10mg ,Allergy,2,1.27,OTC Sale
TXN10957,05-Aug-2025,Salbutamol Inhaler,Respiratory,1,£6.46,OTC Sale
TXN10746,23-Apr-2025,loratadine 10mg,  Allergy ,2,£1.39,Private Prescription
TXN10174,23-Sep-2025,Metformin 500mg,Diabetes,1,£1.93,Private Prescription
TXN10251,26/12/2025,Atorvastatin 20mg,Cardiovascular,1,2.66,NHS Prescription
TXN10400,2025-01-28,  Loratadine 10mg ,Allergy,1,1.25,OTC Sale
TXN10742,09/08/2025,LORATADINE 10MG,allergy,1,£1.42,OTC Sale
TXN10084,17-Oct-2025,Amoxicillin 250mg,Antibiotics,1,£3.34,Private Prescription
TXN11105,15/11/2025,amoxicillin 250mg,ANTIBIOTICS,4,3.18,NHS Prescription
TXN10004,08-Nov-2025,Ibuprofen 200mg,Pain Relief,1,£1.41,NHS Prescription
TXN10422,11/03/2025,LORATADINE 10MG,  Allergy ,2,£1.43,private prescription
TXN10723,25/08/2025,Salbutamol Inhaler,respiratory,3,£6.92,OTC Sale
TXN10327,2025-04-30,Paracetamol 500mg,Pain Relief,1,£1.1,NHS PRESCRIPTION
TXN10445,25-Oct-2025,Loratadine 10mg,Allergy,,1.36,OTC SALE
TXN11044,01-May-2025,Ibuprofen 200mg,pain relief,1,£1.5,OTC Sale
TXN10714,2025-12-06,Cetirizine 10mg,Allergy,1,£1.34,  NHS Prescription 
TXN10118,20-Mar-2025,Metformin 500mg,  Diabetes ,1,£2.01,NHS Prescription
TXN10212,2025-02-17,Amoxicillin 250mg,ANTIBIOTICS,1,3.06,NHS Prescription
TXN10021,2025-09-08,METFORMIN 500MG,DIABETES,3,1.83,Private Prescription
TXN10428,17-Dec-2025,Omeprazole 20mg,Gastro,2,2.29,private prescription
TXN10727,13/01/2025,Atorvastatin 20mg,Cardiovascular,1,2.71,OTC Sale
TXN10026,2025-06-19,METFORMIN 500MG,Diabetes,1,1.86,OTC SALE
TXN10450,30/03/2025,Loratadine 10mg,allergy,1,1.28,NHS PRESCRIPTION
TXN10299,30-Apr-2025,Atorvastatin 20mg,,1,£2.83,Private Prescription
TXN10507,2025-11-05,Loratadine 10mg,Allergy,1,£1.38,NHS Prescription
TXN10084,17-Oct-2025,Amoxicillin 250mg,Antibiotics,1,£3.34,Private Prescription
TXN10539,2025-11-11,IBUPROFEN 200MG,Pain Relief,1,,OTC Sale
TXN10607,2025-04-26,Omeprazole 20mg,Gastro,3,2.26,Private Prescription
TXN10990,17-Aug-2025,omeprazole 20mg,Gastro,4,£2.08,NHS Prescription
TXN10866,2025-09-22,Vitamin D 1000IU,supplements,1,3.82,Private Prescription
TXN10010,2025-02-05,Atorvastatin 20mg,Cardiovascular,2,2.86,otc sale
TXN10930,2025-03-21,vitamin d 1000iu,Supplements,1,3.43,OTC Sale
TXN11021,26/07/2025,Atorvastatin 20mg,Cardiovascular,2,£2.92,OTC SALE
TXN10842,2025-06-26,Amoxicillin 250mg,Antibiotics,1,£3.19,OTC Sale
TXN10892,13/09/2025,  Amoxicillin 250mg ,Antibiotics,1,3.4,OTC Sale
TXN10958,01-Nov-2025,Amoxicillin 250mg,Antibiotics,2,,NHS Prescription
TXN10008,22/03/2025,Salbutamol Inhaler,Respiratory,1,6.88,nhs prescription
TXN10779,06-Nov-2025,Amoxicillin 250mg,Antibiotics,1,£3.43,NHS Prescription
TXN10342,04-Jan-2025,Cetirizine 10mg,Allergy,4,1.25,NHS PRESCRIPTION
TXN10936,01/07/2025,Ibuprofen 200mg,Pain Relief,4,1.51,NHS Prescription
TXN11114,17/02/2025,CETIRIZINE 10MG,Allergy,1,£1.26,NHS Prescription
TXN10373,06-Jan-2025,Omeprazole 20mg,GASTRO,1,£2.24,OTC Sale
TXN10564,2025-09-13,Paracetamol 500mg,  Pain Relief ,2,1.11,NHS Prescription
TXN10052,2025-04-26,Metformin 500mg,Diabetes,1,£1.85,Private Prescription
TXN10040,24-Oct-2025,ibuprofen 200mg,Pain Relief,3,£1.57,Private Prescription
TXN10101,31-Dec-2025,IBUPROFEN 200MG,Pain Relief,3,£1.54,Private Prescription
TXN11002,2025-11-01,Atorvastatin 20mg,CARDIOVASCULAR,1,£2.71,  OTC Sale 
TXN10599,2025-04-30,Atorvastatin 20mg,Cardiovascular,1,£2.99,NHS Prescription
TXN10559,2025-06-30,Metformin 500mg,Diabetes,1,,private prescription
TXN11068,09-May-2025,Salbutamol Inhaler,Respiratory,1,6.83,NHS Prescription
